pl_name,pl_radj,pl_bmassj,pl_orbper,st_teff
BD-08 2823 b,0.322,0.04000,5.60000000,4816.00
BD-10 3166 b,1.260,0.59000,3.48777000,5393.00
GJ 720 A b,0.336,0.04292,19.46600000,3837.00
BD-13 2130 b,1.110,9.78000,714.29999000,4545.00
HD 215152 d,0.132,0.00881,10.86499000,4935.00
AB Pic b,1.100,13.50000,,5285.00
CoRoT-7 d,0.384,0.05393,8.96600000,5250.00
K2-319 b,0.249,0.02580,26.68000000,5440.00
K2-323 b,0.187,0.01590,24.93000000,3710.00
KMT-2021-BLG-1105L b,1.220,1.30000,,
HAT-P-37 b,1.178,1.16900,2.79743600,5500.00
KELT-12 b,1.780,0.95000,5.03162300,6279.00
OGLE2-TR-L9 b,1.610,4.50000,2.48553350,6933.00
GJ 229 b,0.354,0.04700,579.47495000,3564.00
HD 105618 c,1.070,26.49100,77114.07158000,5671.00
HAT-P-2 b,1.130,8.70000,5.63351580,6380.00
TOI-2641 b,1.615,0.38600,4.88097400,6100.00
WASP-107 b,0.940,0.09600,5.72147420,4425.00
WASP-121 b,1.753,1.15700,1.27492504,6776.00
WASP-101 b,1.430,0.51000,3.58572000,6380.00
TRAPPIST-1 d,0.070,0.00122,4.04921900,2566.00
WASP-19 b,1.415,1.15400,0.78883852,5616.00
K2-318 b,0.148,0.01070,7.01000000,3851.00
Kepler-1491 c,0.279,0.02050,61.56976500,5626.00
Kepler-1979 b,0.386,250.00000,18.50845260,5942.00
WASP-6 b,1.030,0.37000,3.36101000,5450.00
WASP-74 b,1.360,0.72000,2.13775000,5990.00
CFBDSIR J145829+101343 b,1.110,10.50000,10037.50000000,580.50
CoRoT-14 b,1.090,7.60000,1.51214000,6035.00
EPIC 206024342 b,0.152,0.01110,4.50756000,5724.00
EPIC 201427007 b,0.134,0.00899,0.72091000,5633.00
EPIC 206215704 b,0.089,0.00306,2.25543600,3297.00
EPIC 212297394 b,0.132,0.00879,2.28936300,5171.00
EPIC 212499991 b,0.143,0.01000,34.88500000,4982.79
EPIC 212737443 c,0.240,0.02420,65.55000000,4684.00
GJ 180 c,0.215,0.02014,24.32900000,3371.00
HD 136118 b,1.100,13.10200,1187.59765000,6097.00
HD 153557 b,0.425,0.06400,7.29903000,4837.00
HD 155918 b,0.239,0.02400,1.87567000,5771.84
HD 156098 b,0.368,0.05000,21.85849000,6419.19
GJ 3138 d,0.288,0.03304,257.80000000,3717.00
HD 134060 c,0.527,0.09220,1291.56460000,5966.00
K2-98 b,0.464,0.10131,10.13644800,6172.00
GJ 433 b,0.208,0.01901,7.37050000,3461.00
GJ 433 d,0.191,0.01643,36.05900000,3461.00
CoRoT-30 b,1.009,2.90000,9.06005000,5650.00
OGLE-2018-BLG-0532L b,0.212,0.01960,,
OGLE-2018-BLG-0383L b,0.215,0.02014,,
KMT-2021-BLG-0322L b,1.130,6.40000,,
HATS-12 b,0.692,2.39000,3.14270200,6357.00
HATS-49 b,0.765,0.35300,4.14804670,4405.00
TOI-1062 b,0.202,0.03194,4.11296000,5328.00
HD 10180 d,0.308,0.03697,16.35700000,5911.00
HD 102272 b,1.150,4.94000,127.58000000,4790.00
HD 42618 b,0.347,0.04531,149.61000000,5727.00
OGLE-2018-BLG-0962L b,1.220,1.34000,,
HD 110014 b,1.110,11.09000,835.47700000,4445.00
HD 131496 b,1.200,1.80000,896.00000000,4846.00
BD-17 63 b,1.150,5.10000,655.60000000,4714.00
TOI-1842 b,1.040,0.21400,9.57390000,6230.00
EPIC 201754305 d,0.092,0.00340,2.71578000,4761.00
EPIC 201841433 b,0.093,0.00352,4.16980000,5053.00
HD 37605 b,1.180,2.69000,55.01292000,5329.00
HD 40307 d,0.272,0.02990,20.43200000,4956.00
HD 75289 b,1.270,0.49000,3.50927000,6117.00
HD 73526 c,1.190,2.25000,379.10000000,5633.00
HD 46375 b,0.894,0.22600,3.02357300,5285.00
HD 7924 c,0.243,0.02473,15.29900000,5075.00
G 264-012 c,0.157,0.01180,8.05180000,3326.00
HD 23127 b,1.210,1.52700,1211.17000000,5843.00
HD 233832 b,1.200,1.78000,2058.00000000,4981.00
HD 238090 b,0.225,0.02168,13.67100000,3933.00
HD 30856 b,1.210,1.54700,847.00000000,4895.00
HD 212301 b,1.270,0.51000,2.24571000,6239.00
TOI-2202 c,1.190,0.36900,24.67440000,5144.00
K2-60 b,0.683,0.42600,3.00265000,5500.00
DMPP-3 A b,0.126,0.00812,6.67320000,5138.00
HATS-77 b,1.165,1.37400,3.08762620,4071.00
Kepler-167 c,0.149,0.01080,7.40610600,4884.00
HD 13808 b,0.299,0.03524,14.18150000,5035.00
HD 4208 b,1.240,0.81000,832.97000000,5717.00
Kepler-104 d,0.319,0.03940,51.75539400,5711.00
Kepler-20 f,0.085,0.00440,19.57832800,5495.00
Kepler-37 d,0.181,0.00629,39.79226220,5357.00
Kepler-62 b,0.117,0.03000,5.71493200,4925.00
TrES-1 b,1.130,0.84000,3.03007000,5230.00
nu Oct A b,1.180,2.40000,417.00000000,4860.00
HD 69830 b,0.283,0.03210,8.66700000,5385.00
HD 180053 b,1.190,2.19400,213.72000000,5131.00
WTS-2 b,1.363,1.12000,1.01870680,5000.00
WASP-92 b,1.461,0.80500,2.17467420,6280.00
TOI-1272 c,0.499,0.08401,8.68900000,4985.00
TOI-1288 c,0.980,0.26429,443.00000000,5225.00
Kepler-134 c,0.112,0.00669,10.10578500,5983.00
TOI-1669 b,1.260,0.57300,502.00000000,5542.30
TOI-3540 A b,2.100,1.18000,3.11999900,5810.00
HD 181342 b,1.180,2.54000,564.10000000,4945.00
HD 181433 b,0.214,0.02000,9.37430000,4918.00
HD 187123 c,1.190,1.99000,3810.00000000,5790.00
K2-291 b,0.142,0.02042,2.22517700,5520.00
HD 125612 b,1.170,2.97400,557.69994000,5900.00
XO-1 b,1.140,0.83000,3.94153000,5750.00
WASP-46 b,1.174,1.91000,1.43036763,5600.00
K2-3 c,0.141,0.00843,24.64672900,3844.00
KELT-3 b,1.560,1.94000,2.70339000,6304.00
HD 205739 b,1.210,1.37000,279.80000000,6176.00
HD 20868 b,1.220,1.25000,380.85001000,4802.00
HD 211810 b,1.250,0.67000,1558.00000000,5652.00
Kepler-165 c,0.199,0.01760,15.31299000,5211.00
Kepler-197 d,0.109,0.00624,15.67756300,6004.00
HD 4732 c,1.190,2.37000,2732.00000000,4959.00
HD 21411 b,0.850,0.20734,84.28800000,5605.00
HD 73526 b,1.170,3.08000,188.30000000,5601.00
HD 73534 b,1.230,1.11200,1750.00000000,4917.00
GJ 411 b,0.129,0.00846,12.93940000,3719.00
GJ 687 b,0.385,0.05412,38.14200000,3413.00
GJ 887 b,0.168,0.01321,9.26200000,3688.00
HD 64114 b,0.393,0.05600,45.79100000,5676.00
HD 220842 b,1.170,3.18000,218.47000000,5960.00
HD 221585 b,1.210,1.61000,1173.00000000,5620.00
HD 238914 b,1.140,6.00000,4100.00000000,4769.00
HD 76920 b,1.160,3.93000,415.40000000,4698.00
HD 20781 b,0.108,0.00610,5.31350000,5256.00
HD 67087 c,1.150,4.85000,2374.00000000,6330.00
HD 65216 c,1.190,2.03000,5370.00000000,5612.00
HD 290327 b,1.180,2.43000,2443.00000000,5505.00
HD 151450 b,0.619,0.12100,21.89288000,6091.98
HD 4313 b,1.200,1.92700,356.21000000,4943.00
HD 330075 b,1.270,0.48000,3.38773000,5000.00
HD 31253 b,1.260,0.62000,466.00000000,6130.00
HD 31527 b,0.288,0.03290,16.55350000,5898.00
HIP 65 A b,2.030,3.21300,0.98097340,4590.00
MASCARA-1 b,1.597,3.70000,2.14877381,7490.00
HD 206893 b,1.250,28.00000,9350.00000000,6500.00
TOI-1338 c,0.844,0.20500,215.50000000,6050.00
KELT-8 b,1.620,0.66000,3.24406000,5754.00
WASP-153 b,1.550,0.39000,3.33260900,5914.00
HD 158259 f,0.210,0.01932,12.02800000,5801.89
TOI-3693 b,1.124,1.02000,9.08851600,5321.00
NGTS-24 b,1.214,0.52000,3.46787960,5820.00
LP 890-9 c,0.122,0.07960,8.45746300,2850.00
Kepler-134 b,0.178,0.01470,5.31742900,5983.00
TOI-1136 b,0.170,0.01340,4.17278000,5770.00
TOI-1136 g,0.226,0.02180,39.53870000,5770.00
K2-219 b,0.120,0.00750,3.90128700,5753.00
HD 40307 b,0.163,0.01260,4.31230000,4956.00
HATS-70 b,1.384,12.90000,1.88823780,7930.00
HAT-P-61 b,0.899,1.05700,1.90231289,5587.00
HD 158259 b,0.115,0.00698,2.17800000,5801.89
HAT-P-38 b,0.825,0.26700,4.64038200,5330.00
HD 12661 b,1.180,2.43000,262.70862000,5645.00
HD 4203 b,1.190,2.23000,431.88000000,5596.00
HATS-7 b,0.563,0.12000,3.18531500,4985.00
CoRoT-13 b,0.885,1.30800,4.03519000,5945.00
Kepler-37 e,,0.00009,51.19600000,5288.00
Kepler-716 b,0.259,0.02750,10.37168453,5099.00
HD 122562 c,0.903,0.23000,84.96276000,4956.00
Kepler-773 b,0.128,0.00829,3.74910006,5850.00
HD 49674 b,0.553,0.10000,4.94737000,5602.00
30 Ari B b,1.100,13.82000,335.10001000,6331.00
HD 62509 b,1.190,2.30000,589.64000000,4892.63
HD 208527 b,1.110,9.90000,875.50000000,4035.00
HD 167768 b,1.240,0.85000,20.65320000,4851.00
Kepler-720 b,0.750,0.16800,4.70832654,5618.00
HD 158259 d,0.195,0.01702,5.19808140,5801.89
HD 207897 b,0.223,0.04531,16.20215900,5070.00
KELT-14 b,1.743,1.28400,1.71005660,5720.00
rho CrB d,0.440,0.06796,282.20000000,5817.00
HAT-P-30 b,1.440,0.83000,2.81060000,6304.00
TOI-3362 b,1.142,5.02900,18.09547000,6532.00
GJ 486 b,0.116,0.00887,1.46711900,3340.00
HAT-P-69 b,1.676,3.58000,4.78694910,7394.00
47 UMa c,1.270,0.54000,2391.00000000,5872.00
K2-415 b,0.091,0.02360,4.01796940,3173.00
BD-11 4672 b,1.250,0.65000,1634.00000000,4550.00
HATS-44 b,1.067,0.56000,2.74390040,5080.00
rho CrB b,1.230,1.09300,39.84380000,5817.00
GJ 328 b,1.180,2.51000,3771.00000000,3897.00
HD 191939 d,0.267,0.00881,38.35303700,5427.00
2MASS J01033563-5515561 AB b,1.100,13.00000,,
Kepler-167 d,0.110,0.00649,21.80379000,4884.00
HD 7199 b,0.993,0.27000,615.00000000,5371.00
KOI-55 c,0.077,0.00210,0.34288700,27730.00
HD 75898 b,1.180,2.71000,422.90000000,5963.00
HD 79498 b,1.220,1.34000,1807.00000000,5748.00
Kepler-751 b,0.219,0.02080,17.44490636,5387.00
Kepler-1930 b,0.136,0.00929,13.02680016,5083.00
Kepler-1725 b,0.251,0.02610,16.71990013,6020.00
Kepler-1883 b,0.290,0.03340,103.42700200,6208.00
WASP-85 A b,1.240,1.26500,2.65567770,6112.00
WASP-95 b,1.230,1.44000,2.18467000,5830.00
Kepler-1887 b,0.261,0.02790,19.94750023,5749.00
Kepler-633 c,0.205,0.01850,23.78319931,5877.00
Kepler-1907 c,0.103,0.00513,14.86390018,5159.00
HD 173416 b,1.180,2.70000,323.60000000,4683.00
Kepler-782 b,0.286,0.03270,158.68533080,5867.00
HD 77338 b,0.368,0.05000,5.73610000,5341.00
GJ 3021 b,1.170,3.37000,133.71000000,5540.00
GJ 3634 b,0.253,0.02600,2.64561000,3517.00
GJ 674 b,0.297,0.03500,4.69380000,3600.00
HD 37605 c,1.170,3.19000,2720.00000000,5329.00
GJ 876 e,0.350,0.04600,124.26000000,3271.00
HD 189567 b,0.254,0.02674,14.28800000,5726.00
HD 96700 c,0.151,0.01101,19.88000000,5845.00
GSC 06214-00210 b,1.800,16.00000,,4200.00
HD 155918 c,1.140,5.90900,17202.19446000,5771.84
HD 190647 b,1.190,1.98500,1176.45000000,5656.00
BD+15 2940 b,1.230,1.11000,137.48000000,4796.00
Kepler-468 b,1.190,,38.47875707,5498.00
Kepler-495 b,0.467,0.07490,3.41303622,5346.00
Kepler-123 b,0.262,0.17400,17.23236600,6089.00
HD 200964 c,1.220,1.21400,852.50000000,4982.00
HATS-36 b,1.153,3.21600,4.17518600,5950.00
HD 17156 b,1.100,3.51000,21.21663000,6040.00
HD 206610 b,1.190,2.03600,673.20000000,4842.00
KMT-2021-BLG-1898L b,1.250,0.73000,,
8 UMi b,1.220,1.31000,93.40000000,4847.00
K2-77 b,0.205,1.90000,8.19979600,4970.00
Kepler-432 b,1.145,5.41000,52.50112900,4995.00
HATS-1 b,1.302,1.85500,3.44645900,5870.00
Kepler-166 c,0.212,0.01970,34.26028100,5413.00
K2-136 c,0.268,0.05695,17.30713000,4500.00
K2-136 d,0.140,0.00944,25.57500000,4500.00
WASP-18 b,1.240,10.20000,0.94145223,6432.00
WASP-39 b,1.270,0.28000,4.05525900,5400.00
HATS-54 b,1.015,0.75300,2.54417650,5621.00
G 9-40 b,0.181,0.03681,5.74600700,3348.00
KMT-2019-BLG-0414L b,1.150,4.57000,,
WASP-18 c,0.765,0.17368,2.15580000,6400.00
KOI-94 e,0.585,0.11000,54.32031000,6182.00
TOI-2076 d,0.288,0.03310,35.12537000,5187.00
HD 100655 b,1.210,1.61000,157.57001000,4891.00
HD 210277 b,1.220,1.29000,442.19000000,5538.00
HD 21693 b,0.250,0.02590,22.67860000,5430.00
HD 10180 f,0.468,0.07520,122.74400000,5911.00
HD 10180 g,0.438,0.06730,604.67000000,5911.00
WASP-47 d,0.318,0.04468,9.03055000,5552.00
HD 176986 c,0.266,0.02888,16.81910000,4931.00
WASP-64 b,1.271,1.27100,1.57329180,5400.00
HD 147379 b,0.519,0.08983,86.78000000,4156.00
GJ 15 A b,0.139,0.00953,11.44070000,3607.00
GJ 3998 b,0.123,0.00777,2.64977000,3722.00
K2-294 b,0.148,0.01070,2.50387000,5612.00
GJ 3293 c,0.434,0.06636,122.61960000,3466.00
HR 2562 b,1.110,30.00000,,6785.00
K2-154 b,0.178,0.01450,3.67626000,4097.00
GJ 3929 c,0.201,0.01797,15.04000000,3384.00
HD 118203 b,1.172,2.79000,6.13350000,5864.00
HATS-58 A b,1.095,1.03000,4.21808960,7175.00
HATS-46 b,0.903,0.17300,4.74237290,5495.00
HD 16417 b,0.446,0.06960,17.24000000,5841.00
TOI-4603 b,1.042,12.89000,7.24599000,6264.00
TOI-3884 b,0.535,0.05191,4.54456970,3269.00
TOI-2421 b,0.925,0.33300,4.34740320,5607.00
HD 109833 c,0.231,0.02270,13.90014800,5881.00
KELT-4 A b,1.699,0.90200,2.98959320,6206.00
Kepler-167 b,0.153,0.01130,4.39315390,4884.00
WASP-110 b,1.238,0.51000,3.77840121,5400.00
TOI-270 b,0.108,0.00497,3.36015380,3506.00
TOI-270 c,0.210,0.01935,5.66057310,3506.00
LTT 1445 A b,0.105,0.00903,5.35876000,3340.00
MWC 758 c,,,,7314.00
WASP-168 b,1.500,0.42000,4.15365800,6000.00
TOI-269 b,0.247,0.02769,3.69771040,3514.00
Kepler-9 d,0.146,0.01050,1.59285100,5777.00
BD-210397 b,1.250,0.70000,1891.00000000,4051.00
BD-210397 c,1.150,4.80000,6240.00000000,4051.00
CoRoT-1 b,1.490,1.03000,1.50895570,5950.00
GJ 832 b,1.230,0.99000,3853.00000000,3472.00
HAT-P-32 b,1.980,0.68000,2.15000820,6001.00
HD 100777 b,1.220,1.23000,383.00000000,5533.00
HD 114783 b,1.230,1.10000,493.70000000,5135.00
HD 143361 b,1.150,4.35000,1039.15000000,5507.00
HD 169830 b,1.180,2.53100,225.67372000,6300.00
HD 169830 c,1.130,7.66900,1818.82339000,6179.26
HD 189733 b,1.130,1.13000,2.21857567,5052.00
HD 196050 b,1.150,4.70000,1392.00000000,5879.00
HD 209458 b,1.390,0.73000,3.52474859,6091.00
HD 215497 b,0.214,0.02000,3.93404000,5110.00
HD 215497 c,1.160,0.35000,566.00000000,5113.00
HD 216437 b,1.160,4.20000,1359.00000000,5909.00
HD 28254 b,1.160,3.80000,1333.00000000,5664.00
HD 44219 b,1.260,0.58000,472.00000000,5752.00
HIP 70849 b,1.150,4.50000,3649.00000000,4105.00
TrES-3 b,1.336,1.91000,1.30618581,5650.00
WASP-12 b,1.937,1.46500,1.09142000,6360.00
WASP-4 b,1.321,1.18600,1.33823147,5400.00
WASP-79 b,1.530,0.85000,3.66239200,6600.00
KELT-1 b,1.110,27.23000,1.21751400,6518.00
HAT-P-41 b,2.050,1.19000,2.69405000,6390.00
WASP-62 b,1.320,0.52000,4.41195000,6230.00
WASP-117 b,1.060,0.30000,10.02165000,6040.00
HD 111998 b,1.150,4.80000,810.00000000,6557.00
WASP-127 b,1.311,0.16470,4.17806203,5620.00
KELT-9 b,1.891,2.88000,1.48112350,10170.00
HD 114783 c,1.200,1.90000,4352.00000000,5126.74
HD 221420 b,1.070,22.00000,10066.00000000,5847.00
L 98-59 b,0.076,0.00126,2.25311360,3415.00
L 98-59 c,0.120,0.00761,3.69067450,3412.00
L 98-59 d,0.141,0.00727,7.45072900,3412.00
GJ 1252 b,0.106,0.00415,0.51823310,3458.00
LHS 1815 b,0.097,0.00497,3.81433400,3643.00
LTT 3780 b,0.118,0.00777,0.76837883,3360.00
LTT 3780 c,0.208,0.02209,12.25219600,3360.00
TOI-1235 b,0.151,0.02105,3.44471400,3997.00
TOI-1685 b,0.152,0.00972,0.66914060,3434.00
TOI-1634 b,0.158,0.02382,0.98934550,3472.00
L 98-59 e,0.139,0.00963,12.79600000,3415.00
TOI-332 b,0.285,0.17997,0.77703800,5251.00
HIP 29442 b,0.310,0.03020,13.63083000,5289.00
HD 140901 b,0.363,0.04900,9.02378000,5610.00
HD 140901 c,1.140,6.28400,7417.50547000,5610.00
HD 16905 b,1.110,11.30000,10256.00000000,4866.12
HD 62364 b,1.080,18.77000,5138.00000000,6255.00
HD 62364 c,1.070,24.93000,74839.94555000,6255.00
GJ 3222 b,0.303,0.03600,10.66669000,5257.46
GJ 680 b,1.070,25.10000,17281.66514000,3563.00
HIP 19976 b,0.441,0.06800,50.65905000,4316.00
Kepler-138 e,0.071,0.00135,38.23000000,3841.00
HD 167677 b,1.180,2.85000,1820.00000000,5474.00
HD 89839 b,1.150,5.01000,3441.00000000,6314.00
HD 165131 b,1.080,18.70000,2342.60000000,5870.00
HIP 54597 b,1.180,2.40000,3274.00000000,4799.00
TOI-1634 c,,,103.00000000,3472.00
HD 73256 c,1.090,16.00000,2690.00000000,5570.00
HD 75302 b,1.140,5.40000,4356.00000000,5697.46
HD 108202 b,1.170,3.00000,2990.00000000,4556.03
HD 135625 b,1.190,2.30000,4055.00000000,6040.64
HD 185283 b,1.220,1.30000,4060.00000000,4848.00
GJ 9404 b,0.310,0.03744,13.45860000,3811.00
HIP 29442 c,0.141,0.01416,3.53796000,5289.00
HIP 29442 d,0.122,0.01605,6.42975000,5289.00
KMT-2021-BLG-2010L b,1.230,1.07000,,
KMT-2022-BLG-0371L b,0.971,0.26000,,
KMT-2022-BLG-1013L b,1.080,0.31000,,
Kepler-138 b,0.057,0.00022,10.31340000,3841.00
Kepler-138 c,0.135,0.00724,13.78150000,3841.00
Kepler-138 d,0.135,0.00661,23.09230000,3841.00
HAT-P-7 b,1.510,1.84000,2.20474000,6389.00
Kepler-9 b,0.740,0.13655,19.23891000,5774.00
Kepler-9 c,0.721,0.09408,38.98530000,5774.00
OGLE-2017-BLG-0173L b,0.145,0.01029,,
K2-371 b,1.162,,3.11490500,4925.00
HD 183579 b,0.317,0.06198,17.47127800,5788.00
HD 1605 c,1.160,3.62000,2149.00000000,4915.00
Kepler-265 c,0.235,0.02330,17.02893700,5835.00
Kepler-56 d,1.140,5.61000,1002.00000000,4819.44
HD 9174 b,1.230,1.11000,1179.00000000,5577.00
24 Boo b,1.240,0.91000,30.35060000,4893.00
Kepler-756 b,0.100,0.00459,1.22486632,5282.00
HATS-9 b,1.236,0.83700,1.91529100,5599.00
HD 165155 b,1.180,2.89000,434.50000000,5426.00
OGLE-2017-BLG-1140L b,1.210,1.59000,,
K2-239 b,0.098,0.00430,5.24000000,3420.00
EPIC 201497682 b,0.062,0.00082,2.13174000,4991.00
EPIC 206032309 b,0.090,0.00317,2.87814000,3489.00
HATS-8 b,0.873,0.13800,3.58389300,5679.00
HD 180617 b,0.315,0.03843,105.91100000,3534.00
CI Tau b,1.110,11.60000,8.98910000,3807.00
K2-165 c,0.139,0.00955,4.38274500,5185.00
K2-27 b,0.400,0.09722,6.77131500,5248.00
HIP 65426 b,1.500,9.00000,,9097.00
HATS-72 b,0.722,0.12540,7.32794740,4656.10
K2-252 b,0.155,0.01160,13.81513000,5152.00
WASP-183 b,1.470,0.50200,4.11177710,5313.00
WASP-20 b,1.462,0.31100,4.89962840,5940.00
WASP-23 b,0.962,0.88400,2.94442560,5150.00
WASP-11 b,1.110,0.79000,3.72247000,4800.00
WASP-70 A b,1.164,0.59000,3.71302030,5763.00
HD 25015 b,1.120,9.07700,6134.42700000,5160.00
HD 220689 b,1.220,1.20000,2266.40000000,5921.00
HD 23596 b,1.100,11.91400,1535.11912000,6040.00
KMT-2018-BLG-1743L b,0.937,0.24500,,
K2-19 c,0.366,0.03398,11.89930000,5322.00
K2-136 b,0.090,0.01353,7.97520000,4500.00
HAT-P-42 b,1.280,1.04400,4.64187800,5743.00
HAT-P-64 b,1.703,0.58000,4.00723200,6457.00
OGLE-2019-BLG-0304L b,1.270,0.51000,,
GJ 3138 b,0.106,0.00560,1.22003000,3717.00
HD 148164 b,1.220,1.23000,328.55000000,6032.00
PDS 70 c,2.040,2.00000,,3972.00
K2-22 b,0.205,1.40000,0.38107300,3879.00
HD 24064 b,1.100,12.89000,535.59998000,4052.00
WASP-47 b,1.128,1.14401,4.15914920,5552.00
LHS 1140 c,0.104,0.00554,3.77792000,2988.00
KMT-2017-BLG-0165L b,0.575,0.11000,,
Kepler-849 b,0.637,0.12700,394.62449040,6059.00
BD-06 1339 b,0.254,0.02700,3.87280000,4324.00
HAT-P-40 b,1.520,0.48000,4.45724000,6080.00
Qatar-4 b,1.135,6.10000,1.80535640,5215.00
HAT-P-51 b,1.293,0.30900,4.21802780,5449.00
HD 66428 b,1.110,10.94600,2269.81726000,5716.00
HD 70642 b,1.160,3.90000,2124.54000000,5732.00
LkCa 15 c,,,,4194.00
MXB 1658-298 b,1.070,23.70000,760.00000000,
